student_secondary_edu,student_higher_edu,mother_secondary_edu,mother_higher_edu,father_secondary_edu,father_higher_edu,1st_5_enrolled,1st_6_enrolled,1st_7_enrolled,1st_gt_7_enrolled,2nd_5_enrolled,2nd_6_enrolled,2nd_7_enrolled,2nd_8_enrolled,2nd_gt_8_enrolled,app_phase,app_older23,app_inter,age_lt20,age_lt25_gt20,age_lt30_gt25,CU1sem_Eval1grp_678,CU1sem_Eval1grp_lt6,CU1sem_Eval1grp_gt8,CU1sem_approv1grp_5,CU1sem_approv1grp_lt5,CU1sem_approv1grp_gt5,cu1st_sem_without_eval_0,cu1st_sem_without_eval_1_2,cu2nd_sem_without_eval_0,cu2nd_sem_without_eval_1,cu2nd_sem_without_eval_2,CU2sem_Eval1grp_679,CU2sem_Eval1grp_8,CU2sem_Eval1grp_lt6,CU2sem_Eval1grp_gt9,CU2sem_approv1grp_5,CU2sem_approv1grp_0,CU2sem_approv1grp_1234,CU2sem_approv1grp_gt5,mother_occupation_grp0,mother_occupation_grp168,mother_occupation_grp2357,mother_occupation_grp4910,father_occupation_grp0,father_occupation_grp124,father_occupation_grp3568,father_occupation_grp7,father_occupation_grp910,Course_33,Course_171,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147_9670,Course_9238_8014,Course_9254,Course_9500,Course_9556,Course_9773,Course_9853,Course_9991,previous_qualification_grade,admission_grade,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade,1st_sem_approved_all_enrolled,2nd_sem_approved_all_enrolled,single,daytime/evening_attendance,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,unemployment_rate,inflation_rate,gdp,cu1st_sem_without_eval_comb,cu2nd_sem_without_eval_comb,CU1sem_Eval1,CU1sem_approv1,CU2sem_Eval1,CU2sem_approv1,amode,mother_occupation,father_occupation,course,cu1sem_enroll,cu2sem_enroll,age,pquali,mquali,fquali,target_bin
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,127.3,0,0,1,1,1,1,1,0,1,1,0,10.8,1.4,1.74,0,0,0,0,0,0,4,2,4,171,0,0,2,1,3,3,1
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,160,142.5,14,13.66666667,1,1,1,1,1,0,0,1,0,13.9,-0.3,0.79,0,0,1,1,2,2,4,2,2,9254,6,6,1,1,1,2,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,122,124.8,0,0,0,0,1,1,1,0,0,1,0,10.8,1.4,1.74,0,0,0,0,0,0,1,3,4,9070,6,6,1,1,3,3,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122,119.6,13.42857143,12.4,1,0,1,1,1,0,1,0,0,9.4,-0.8,-3.12,0,0,1,1,1,5,4,2,2,9773,6,6,2,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,141.5,12.33333333,13,0,1,0,0,0,0,1,0,0,13.9,-0.3,0.79,0,0,2,5,2,2,3,3,4,8014,6,6,4,1,3,3,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133.1,114.8,11.85714286,11.5,1,1,0,0,0,1,1,1,0,16.2,0.3,-0.92,0,3,2,5,1,5,3,3,3,9991,5,5,4,3,3,3,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,142,128.4,13.3,14.345,1,1,1,1,1,0,1,0,1,15.5,2.8,-4.06,0,0,2,1,8,2,1,2,4,9500,7,8,1,1,3,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,119,113.1,0,0,0,0,1,1,1,0,0,1,0,15.5,2.8,-4.06,0,0,0,0,0,0,4,3,4,9254,5,5,2,1,3,3,1
1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,137,129.3,13.875,14.14285714,1,1,1,1,0,0,1,0,1,16.2,0.3,-0.92,0,0,1,1,2,2,1,3,4,9238,6,6,2,1,1,1,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,138,123,11.4,13.5,0,0,1,1,1,1,0,0,0,8.9,1.4,3.51,0,0,2,5,1,1,1,3,3,9238,6,6,1,1,1,3,1
